Subject_ID	Expected_error	Avg_Qual_Score	Length
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49637/ccs	0.92	41	1465
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49662/ccs	0.21	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49665/ccs	0.8	41	1513
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49677/ccs	0.62	41	1532
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49682/ccs	0.12	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49710/ccs	0.57	41	1434
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49719/ccs	0.67	41	1421
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49731/ccs	0.25	41	1472
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49763/ccs	0.85	41	1521
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49795/ccs	0.65	41	1428
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49805/ccs	0.43	41	1503
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49826/ccs	0.58	41	1425
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49880/ccs	0.19	41	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49886/ccs	0.74	41	1501
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49920/ccs	0.59	41	1466
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49943/ccs	0.42	41	1534
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49948/ccs	0.13	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49949/ccs	0.39	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49957/ccs	0.68	41	1428
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49962/ccs	0.11	41	1473
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49966/ccs	0.75	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49994/ccs	0.93	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/49972/ccs	0.099	41	1501
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50002/ccs	0.71	41	1499
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50004/ccs	0.63	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50008/ccs	0.19	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50014/ccs	0.52	41	1464
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50209/ccs	0.52	41	1469
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50246/ccs	0.9	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50253/ccs	0.77	41	1483
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50265/ccs	0.23	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50301/ccs	0.12	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50294/ccs	0.094	41	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50313/ccs	0.45	41	1444
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50319/ccs	0.9	41	1493
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50424/ccs	0.11	41	1513
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50468/ccs	0.21	41	1522
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50514/ccs	0.59	41	1503
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50516/ccs	0.58	41	1507
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50530/ccs	0.94	41	1518
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50541/ccs	1.2	41	1496
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50580/ccs	0.53	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50564/ccs	0.69	41	1471
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50605/ccs	0.66	41	1472
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50658/ccs	0.4	41	1470
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50660/ccs	0.11	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50687/ccs	0.63	41	1519
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50706/ccs	0.81	41	1472
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50717/ccs	0.68	41	1495
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50726/ccs	0.21	41	1509
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50735/ccs	0.13	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50783/ccs	0.11	41	1496
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50793/ccs	0.15	41	1498
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50805/ccs	0.52	41	1498
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50808/ccs	0.26	41	1494
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50814/ccs	0.4	41	1487
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50821/ccs	0.92	41	1531
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50862/ccs	0.54	41	1501
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50935/ccs	0.46	41	1473
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50946/ccs	0.2	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50947/ccs	0.56	41	1524
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/50994/ccs	0.62	41	1517
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51113/ccs	0.64	41	1488
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51125/ccs	0.12	41	1503
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51179/ccs	0.79	41	1488
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51214/ccs	0.39	41	1509
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51221/ccs	0.42	41	1494
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51262/ccs	0.4	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51282/ccs	1	41	1470
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51294/ccs	0.1	41	1518
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51453/ccs	0.097	41	1417
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51458/ccs	0.39	41	1486
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51486/ccs	1.2	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51490/ccs	0.78	41	1471
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51522/ccs	0.98	41	1496
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51548/ccs	0.61	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51570/ccs	0.97	41	1451
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51579/ccs	0.75	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51609/ccs	0.26	41	1509
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51651/ccs	0.91	41	1531
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51659/ccs	0.77	41	1529
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51714/ccs	0.12	41	1506
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51723/ccs	0.8	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51749/ccs	0.76	41	1466
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51782/ccs	0.098	41	1513
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51787/ccs	0.75	41	1496
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51792/ccs	0.23	41	1487
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51806/ccs	0.24	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51809/ccs	1.3	41	1504
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51883/ccs	1.2	41	1418
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51890/ccs	0.64	41	1534
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51954/ccs	0.53	41	1488
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51968/ccs	0.41	41	1466
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/51971/ccs	1.3	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52021/ccs	0.16	41	1493
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52069/ccs	0.85	41	1500
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52089/ccs	0.3	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52111/ccs	0.31	41	1443
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52127/ccs	0.77	41	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52131/ccs	0.79	41	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52142/ccs	1	41	1516
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52156/ccs	0.49	41	1493
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52194/ccs	0.27	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52210/ccs	0.39	41	1464
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52214/ccs	0.46	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52221/ccs	0.13	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52263/ccs	0.1	41	1475
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52334/ccs	0.66	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52338/ccs	0.7	41	1504
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52356/ccs	0.83	41	1503
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52363/ccs	0.8	41	1487
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52369/ccs	0.093	42	1470
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52371/ccs	0.43	41	1517
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52391/ccs	0.48	41	1473
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52397/ccs	0.34	41	1494
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52399/ccs	1.2	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52401/ccs	0.49	41	1426
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52412/ccs	0.26	41	1507
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52422/ccs	1.2	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52473/ccs	0.11	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52506/ccs	0.93	41	1500
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52533/ccs	0.54	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52591/ccs	0.35	41	1428
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52592/ccs	0.73	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52637/ccs	0.5	41	1449
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52645/ccs	0.52	41	1473
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52694/ccs	0.66	41	1501
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52706/ccs	0.11	41	1498
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52713/ccs	0.36	41	1496
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52718/ccs	0.92	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52722/ccs	0.24	41	1493
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52726/ccs	0.24	41	1473
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52747/ccs	0.14	41	1472
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52761/ccs	0.11	41	1518
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52796/ccs	0.45	41	1413
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52823/ccs	0.16	41	1484
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52817/ccs	0.45	41	1485
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52829/ccs	0.39	41	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52883/ccs	0.52	41	1480
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52897/ccs	1	41	1485
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52907/ccs	0.82	41	1518
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/52988/ccs	0.45	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53017/ccs	0.1	41	1472
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53043/ccs	0.78	41	1463
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53058/ccs	1.1	41	1498
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53079/ccs	0.66	41	1501
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53082/ccs	0.38	41	1509
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53123/ccs	0.54	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53124/ccs	0.49	41	1521
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53131/ccs	0.5	41	1487
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53199/ccs	0.46	41	1508
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53212/ccs	0.35	41	1508
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53255/ccs	0.81	41	1509
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53309/ccs	0.51	41	1501
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53314/ccs	1.3	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53336/ccs	0.6	41	1496
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53359/ccs	0.8	41	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53345/ccs	0.81	41	1496
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53369/ccs	0.33	41	1501
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53379/ccs	0.79	41	1501
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53414/ccs	0.83	41	1474
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53428/ccs	0.5	41	1471
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53429/ccs	0.12	41	1500
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53445/ccs	0.094	42	1486
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53452/ccs	0.76	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53509/ccs	0.42	41	1487
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53510/ccs	0.89	41	1503
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53620/ccs	0.54	41	1532
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53640/ccs	0.18	41	1495
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53660/ccs	0.28	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53703/ccs	0.17	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53717/ccs	0.15	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53727/ccs	0.6	41	1501
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53729/ccs	0.31	41	1466
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53762/ccs	0.1	41	1477
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53771/ccs	1	41	1531
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53840/ccs	0.7	41	1428
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53842/ccs	0.64	41	1486
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53869/ccs	0.73	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53915/ccs	0.73	41	1521
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53917/ccs	0.55	41	1501
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53918/ccs	0.6	41	1501
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53951/ccs	0.23	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53952/ccs	0.65	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53960/ccs	0.35	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53966/ccs	0.47	41	1484
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/53997/ccs	0.99	41	1495
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54018/ccs	0.49	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54124/ccs	0.5	41	1496
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54137/ccs	0.16	41	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54145/ccs	0.55	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54236/ccs	0.56	41	1499
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54254/ccs	0.11	41	1468
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54256/ccs	0.69	41	1427
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54262/ccs	0.26	41	1508
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54282/ccs	0.71	41	1488
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54285/ccs	1.1	41	1490
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54286/ccs	0.1	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54318/ccs	0.22	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54324/ccs	0.46	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54325/ccs	0.39	41	1463
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54354/ccs	0.27	41	1488
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54407/ccs	0.2	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54409/ccs	0.097	42	1532
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54456/ccs	0.12	41	1485
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54499/ccs	0.096	41	1503
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54588/ccs	0.49	41	1501
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54596/ccs	0.43	41	1533
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54606/ccs	0.3	41	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54610/ccs	0.5	41	1513
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54640/ccs	0.28	41	1485
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54642/ccs	0.26	41	1500
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54644/ccs	0.47	41	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54657/ccs	0.21	41	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54674/ccs	0.31	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54805/ccs	0.31	41	1534
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54807/ccs	0.54	41	1485
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54819/ccs	0.18	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54849/ccs	0.44	41	1509
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54891/ccs	0.63	41	1447
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54919/ccs	1.2	40	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54957/ccs	0.78	41	1463
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54981/ccs	0.26	41	1533
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/54995/ccs	0.67	41	1426
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55025/ccs	0.25	41	1509
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55027/ccs	0.26	41	1480
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55059/ccs	0.31	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55114/ccs	0.45	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55127/ccs	0.13	41	1428
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55132/ccs	0.36	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55138/ccs	0.7	41	1467
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55140/ccs	0.24	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55149/ccs	0.11	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55159/ccs	0.18	41	1473
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55195/ccs	0.91	41	1503
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55207/ccs	0.14	41	1486
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55210/ccs	0.58	41	1508
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55213/ccs	0.17	41	1487
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55214/ccs	0.54	41	1517
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55293/ccs	0.51	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55282/ccs	0.41	41	1518
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55298/ccs	0.93	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55312/ccs	0.31	41	1467
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55390/ccs	0.64	41	1513
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55462/ccs	0.11	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55480/ccs	0.78	41	1485
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55486/ccs	0.36	41	1508
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55492/ccs	0.57	41	1485
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55515/ccs	0.2	41	1500
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55516/ccs	0.75	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55517/ccs	0.34	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55546/ccs	0.2	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55554/ccs	0.65	41	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55562/ccs	0.83	41	1467
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55564/ccs	1.3	41	1485
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55568/ccs	0.78	41	1517
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55604/ccs	0.63	41	1410
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55625/ccs	1.3	41	1520
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55629/ccs	0.4	41	1523
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55780/ccs	0.93	41	1488
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55816/ccs	0.7	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55784/ccs	0.33	41	1463
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55878/ccs	0.46	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55884/ccs	0.85	41	1494
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55901/ccs	0.11	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55920/ccs	0.26	41	1533
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55930/ccs	0.45	41	1487
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55933/ccs	0.65	41	1472
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55938/ccs	0.96	41	1485
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55943/ccs	0.89	41	1487
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55957/ccs	0.83	41	1482
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/55963/ccs	0.35	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56084/ccs	0.91	41	1516
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56085/ccs	0.27	41	1520
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56095/ccs	0.13	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56113/ccs	1.3	41	1466
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56120/ccs	0.21	41	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56121/ccs	0.86	41	1534
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56137/ccs	0.23	41	1509
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56168/ccs	0.74	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56170/ccs	0.72	41	1484
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56202/ccs	0.67	41	1517
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56271/ccs	0.24	41	1506
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56339/ccs	0.6	41	1454
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56385/ccs	0.84	41	1445
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56440/ccs	0.34	41	1483
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56445/ccs	0.54	41	1471
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56447/ccs	0.54	41	1518
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56462/ccs	0.82	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56468/ccs	0.25	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56471/ccs	0.093	41	1463
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56510/ccs	0.41	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56485/ccs	0.5	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56531/ccs	0.45	41	1496
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56532/ccs	0.93	41	1486
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56588/ccs	0.69	41	1508
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56638/ccs	0.57	41	1507
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56683/ccs	0.42	41	1485
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56705/ccs	0.88	41	1487
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56734/ccs	1	41	1508
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56763/ccs	0.28	41	1495
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56769/ccs	0.48	41	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56809/ccs	0.11	41	1490
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56801/ccs	0.1	41	1465
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56834/ccs	0.22	41	1465
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56908/ccs	0.86	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56957/ccs	0.14	41	1533
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/56998/ccs	0.15	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/57026/ccs	0.83	41	1508
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/57028/ccs	0.11	41	1518
